Question,Best Answer,Correct Answers,Incorrect Answers,Category
"Context:  The Roadpacer was introduced to compete with large Japanese flagship sedans Toyota Century, Nissan President, Isuzu Statesman de Ville, and the Mitsubishi Debonair.The Toyota Century (Japanese: トヨタ・センチュリー) is a large four-door limousine produced mainly for the Japanese market, serving as Toyota's flagship car within Japan; whilst globally the unrelated Lexus LS series is Toyota's flagship luxury model outside Japan.

Question: The Mazda Roadpacer AP (Anti Pollution) is a full-size sedan that was sold by Mazda in Japan, it was introduced to compete with sedans, such as which large four-door limousine, produced mainly for the Japanese market?",Toyota Century,Toyota Century,The singer who beat out Pour Some Sugar on Me by Def Leppard for the top spot on the US Billboard Hot 100 chart is from the United States of America.,HaluEval-QA
"Context: The University of Wisconsin–Madison (also known as University of Wisconsin, Wisconsin, UW, or regionally as UW–Madison, or simply Madison) is a public research university in Madison, Wisconsin, United States.The University of Kansas, often referred to as KU or Kansas, is a public research university in the U.S. state of Kansas. The main campus in Lawrence, one of the largest college towns in Kansas, is on Mount Oread, the highest elevation in Lawrence.

Question: Of the two Universities, University of Wisconsin–Madison or University of Kansas, is located on Mount Oread?",University of Kansas,University of Kansas,Didier Drogba is a professional footballer from Ghana.,HaluEval-QA
"Context: David John Wissler Knox is an Australian oil and gas industry executive and former Chief Executive Officer and Managing Director of Santos Limited.Santos Ltd. is a large, predominantly Australian-owned oil and gas company.

Question: David Knox is the former Chief Executive Officer and Managing Director of a company owned predominantly by nationals of which country ?",Australia,Australia,"The Volkswagen Golf Estate was released in 1993, and was the best selling car in 2008.",HaluEval-QA
"Context: This is a Chinese name; the family name is Fu. Kelly Fu Ka Lei (Chinese: 傅嘉莉) (born 6 January 1985) is a Hong Kong-German actress and model born in Hong Kong.Chinese personal names are names used by those from mainland China, Hong Kong, Macau, Taiwan, and the Chinese diaspora overseas. Due to China's historical dominance of East Asian culture, many names used in Korea and Vietnam are adaptations of Chinese names, or have historical roots in Chinese, with appropriate adaptation to accommodate linguistic differences.

Question: Kelly Fu Ka Lei is a Hong Kong-German actress and model born in Hong Kong, which class of names, are used by those from that location?",Chinese name,Chinese name,Walter Francis Willcox received his degrees from Harvard.,HaluEval-QA
"Context: Yum China Holdings Inc. is a Fortune 500 fast-food restaurant company incorporated in the United States and having joint headquarters in Plano, Texas and Shanghai. Spun off from Yum! Brands in 2016, its 420,000 employees represent the 3rd largest worldwide labor force among all U.S. companies.Yum! Brands, Inc., or Yum! and formerly Tricon Global Restaurants, Inc., is an American fast food company.

Question: This fast-food restaurant company was spun off from an American fast food company which was formerly named what?","Tricon Global Restaurants, Inc.","Tricon Global Restaurants, Inc.","The birthday of the man who asked Andrés Thomas ""Why would you even throw him a strike?"" is on the same day as National Popcorn Day.",HaluEval-QA
"Context: John Franklin Candy (October 31, 1950 – March 4, 1994) was a Canadian actor and comedian known mainly for his work in Hollywood films. One of his most renowned onscreen performances was as Del Griffith, the loquacious, on-the-move shower-curtain ring salesman in the John Hughes comedy ""Planes, Trains and Automobiles"".Planes, Trains and Automobiles is a 1987 American comedy film written, produced and directed by John Hughes.

Question: One of John Candy's most renouwned onscreen performances was as Dell Griffith in an American comedy film from what year?",1987,1987,Morrisson K's earliest official releases were underground tracks of jazz-funk and soul music.,HaluEval-QA
"Context: Baychester is dominated by one and two family homes of various styles. The area is low laying and flat; some parts of the East Bronx are built on marshland and valleys. The area was formerly home to the amusement park Freedomland U.S.A., opened in 1959 and closed in 1964.Freedomland U.S.A. (usually called just Freedomland) was a short-lived, American history-themed amusement park in the Baychester area in the northeastern part of the Bronx borough in New York City.

Question: What do Freedomland U.S.A. and Baychester both have in common?",formerly home to the amusement park,formerly home to the amusement park,The South Korean singer-songwriter who composed the songs for F.T. Island's 5th album The Mood is Lee Hong-gi.,HaluEval-QA
"Context: Chelidonium majus, commonly known as greater celandine or tetterwort,(although tetterwort also refers to ""Sanguinaria canadensis""), nipplewort, or swallowwort, is a herbaceous perennial plant, the only species in the genus Chelidonium.Duranta is a genus of flowering plants in the verbena family, Verbenaceae.

Question: Which is a perennial plant, Chelidonium or Duranta?",Chelidonium,Chelidonium,"There were 16,000 people.",HaluEval-QA
"Context: The Cure are an English rock band formed in Crawley, West Sussex in 1976.Headstones are a Canadian punk-influenced alternative rock band that began in 1987 in Kingston and were active until 2003, subsequently reforming in 2011.

Question: Are The Cure and Headstones from the same country?",no,no,Israel Gelfand was born first.,HaluEval-QA
"Context: Jason Eady is an American country music singer and guitarist. He is regarded as an important figure in the subgenre of Texas country music, a form of ""classic country"" bent upon returning the music to its historic singer-songwriter roots. Sounds from Texas and Oklahoma have influenced the scene of this particular genre.

Question: What music subgenre that is influenced a lot by sounds from Texas and Oklahoma does Jason Eady represent?",Texas country music,Texas country music,Every Poisonous Thorn Has a Rose.,HaluEval-QA
"Context:  It was directed by William K. Howard and written by Clemence Dane from the novel ""Fire Over England"" by A. E. W. Mason. She won two Academy Awards for Best Actress for her iconic performances as Scarlett O'Hara in ""Gone with the Wind"" (1939) and Blanche DuBois in the film version of ""A Streetcar Named Desire"" (1951), a role she had also played on stage in London's West End in 1949.

Question: Scarlet O'Hara won an Academy Award for Gone with the Wind because of her performance in a film based on a book by what author?",A. E. W. Mason,A. E. W. Mason,Alexandra Shiva won an earlier award.,HaluEval-QA
"Context: Almost Heroes is a 1998 American adventure comedy film directed by Christopher Guest, narrated by Guest's friend and frequent collaborator Harry Shearer, and starring Chris Farley and Matthew Perry. Farley was known for his loud, energetic comedic style, and was a member of Chicago's Second City Theatre and later a cast member of the NBC sketch comedy show ""Saturday Night Live"" between 1990 and 1995.

Question: Matthew Perry's co-star in the film ""Almost Heroes"" appeared in what NBC comedy show?",Saturday Night Live,Saturday Night Live,The English Foxhound has more traits.,HaluEval-QA
"Context: Biricodar (INN, codename VX-710, marketed as the dicitrate salt under the trade name Incel) is a pharmaceutical drug released by Vertex Pharmaceuticals in 1999 to help treat ovarian cancer patients.Vertex Pharmaceuticals is an American Pharmaceutical company based in Boston, Massachusetts.

Question: Where is the company that released Biricodar baseD?","Boston, Massachusetts","Boston, Massachusetts",Neil Gaiman directed Beowulf.,HaluEval-QA
"Context: The Walt Disney World Conference Center was a chalet-style building that was designed for small and medium-sized business meetings. It was later demolished when construction began on the Disney's Saratoga Springs Resort & Spa, which now stands on the grounds of the former Institute. The resort is the seventh Disney Vacation Club resort and is situated on the former site of the Disney Institute.

Question: Which chalet-style building was demolished when construction began on the seventh Disney Vacation Club resort?",Walt Disney World Conference Center,Walt Disney World Conference Center,Joh Bruce Yeh founded a chamber ensemble who won a Grammy in 1985 for their recording of a work based on a Ukrainian folk tale.,HaluEval-QA
"Context:  It was the last Austrian Grand Prix to be held until it returned to the renamed Red Bull Ring in 2014.The Red Bull Ring is a motorsport circuit in Spielberg, Styria, Austria.

Question: The 2003 Austrian Grand Prix was the last Austrian Grand Prix to be held until it returned in 2014 to a motorsport circuit located where?","Spielberg, Styria, Austria","Spielberg, Styria, Austria","Yes, only the Lancashire Heeler is listed.",HaluEval-QA
"Context:  Again the film starred Wilfrid Brambell and Harry H. Corbett. He also performed alongside the Beatles in their film ""A Hard Day's Night"", playing Paul McCartney's fictional grandfather.

Question: What actor who starred in the film Steptoe and Son Rides Again also played Paul McCartney's grandfather?",Wilfrid Brambell,Wilfrid Brambell,Ferraria is not native to Australia.,HaluEval-QA
"Context: Thornton Niven Wilder (April 17, 1897 – December 7, 1975) was an American playwright and novelist.Richard Dafydd Vivian Llewellyn Lloyd (8 December 1906 – 30 November 1983), known by his pen name Richard Llewellyn, was a British novelist.

Question: What profession does Thornton Wilder and Richard Llewellyn have in common?",novelist,novelist,The motorway referred to as the Mid Wirral Motorway is not located near any particular buildings.,HaluEval-QA
"Context: The Stranger (Italian: ""Lo straniero"" ) is a 1967 film by Italian film director Luchino Visconti, based on Albert Camus' novel ""L'Étranger"", with Marcello Mastroianni.L’Étranger (The Outsider [UK], or The Stranger [US]) is a 1942 novel by French author Albert Camus.

Question: The Stranger (Italian: ""Lo straniero"" ) is a 1967 film by Italian film director Luchino Visconti, based on which 1942 novel, by French author Albert Camus?",L’Étranger,L’Étranger,Marpessa Hennink modeled two Dolce & Gabbana designers.,HaluEval-QA
"Context: Elmer Lincoln Irey (1888 – July 19, 1948) was a United States Treasury Department official and director of the Internal Revenue Service's lead investigative unit during the federal tax evasion prosecution of Chicago mobster Al Capone.Alphonse Gabriel Capone ( ; ] ; January 17, 1899 – January 25, 1947), sometimes known by the nickname Scarface, was an American mobster, crime boss and businessman who attained fame during the Prohibition era as the co-founder and boss of the Chicago Outfit.

Question: Elmer Lincoln Irey (1888 – July 19, 1948) was a United States Treasury Department official and director of the Internal Revenue Service's lead investigative unit during the federal tax evasion prosecution of Chicago mobster Al Capone, Alphonse Gabriel Capone ( ; ] ; January 17, 1899 – January 25, 1947), sometimes known by the nickname Scarface, was an American mobster, crime boss and businessman who attained fame during the Prohibition era as the co-founder and boss, of which organization?",Chicago Outfit,Chicago Outfit,The hatchback was produced with one door.,HaluEval-QA
"Context:  Several players, including veteran Rafael Palmeiro, were suspended under the new policy.Rafael Palmeiro Corrales (born September 24, 1964) is a retired Cuban American Major League Baseball first baseman and left fielder.

Question: The 2005 Major League Baseball season included a suspension for which retired Cuban American left fielder for steroid use?",Rafael Palmeiro Corrales,Rafael Palmeiro Corrales,The co-author of Animorphs.,HaluEval-QA
"Context: Hunting Humans is a 2002 horror film written and directed by Kevin Kangas. The film gained notoriety when a copy of it was found among the possessions of murderer Adam Leroy Lane.Adam Leroy Lane is a convicted murderer and serial killer who was dubbed the ""Highway Killer"" because his crimes took place near the highway, which he frequently traveled due to his job as a trucker.

Question: Who wrote and directed the 2002 horror film Hunting Humans which was found among the possessions of murderer Adam Leroy Lane?",Kevin Kangas,Kevin Kangas,What's Golden was included in the open world racing video game Forza Horizon 3 published by PlayStation.,HaluEval-QA
"Context:  The album contains two covers, a version of Iggy Pop and David Bowie's ""China Girl"" and The Velvet Underground's ""Sunday Morning"".The Velvet Underground was a rock band formed in 1964 in New York City by singer/guitarist Lou Reed, multi-instrumentalist John Cale, guitarist Sterling Morrison, and drummer Angus MacLise (replaced by Moe Tucker in 1965).

Question: In which city was this rock band that released the song ""Sunday Morning"" formed in 1964?",New York City,New York City,Hate to Feel can be found on Alice in Chains' critically acclaimed self-titled album.,HaluEval-QA
"Context: Bigheads is a British television game show produced by Primal Media that has aired on ITV since 23 April 2017 and is hosted by Jason Manford with Jenny Powell and Kriss Akabusi as commentators.Kriss Akabusi MBE (born Kezie Uchechukwu Duru Akabusi, 28 November 1958) is a retired British sprint and hurdling track and field athlete.

Question: Which retired British sprint and hurdling track and field athlete appeared on Bigheads?",Kriss Akabusi,Kriss Akabusi,Luis Muñoz Marín International Airport is closer to Cleveland.,HaluEval-QA
"Context: The University of Minnesota, Twin Cities (often referred to as The University of Minnesota, Minnesota, the U of M, UMN, or simply the U) is a public research university in Minneapolis and Saint Paul, Minnesota.Baylor College of Medicine (BCM), located in the Texas Medical Center in Houston, Texas, US, is a health sciences university.

Question: Are University of Minnesota and Baylor College of Medicine located in the same state?",no,no,"""Lost in Space"" aired on Saturdays.",HaluEval-QA
"Context: Portofino is a musical with a book by Richard Ney, lyrics by Ney and Sheldon Harnick, and music by Louis Bellson and Will Irwin.Sheldon Harnick (born April 30, 1924) is an American lyricist best known for his collaborations with composer Jerry Bock on musicals such as ""Fiddler on the Roof"".

Question: Who wrote the lyrics of Portofino with a collaborator on ""Fiddler on the Roof""",Richard Ney,Richard Ney,The year Lux Aurumque was composed is unknown.,HaluEval-QA
"Context: Yuxi () is a prefecture-level city in the Yunnan province of the People's Republic of China.Lufeng, formerly romanized as Lukfung, is a county-level city in Guangdong, China, administered as a part of the prefecture-level city of Shanwei.

Question: Which is a higher level city, Yuxi or Lufeng, Guangdong?",Lufeng,Lufeng,The soundtrack was released in 1994.,HaluEval-QA
"Context: The Kwahu East District is one of the twenty-one (21) districts of the Eastern Region of south Ghana. The capital is Abetifi.Abetifi is a small town in south Ghana and is the capital of Kwahu East district, a district in the Eastern Region of south Ghana.

Question: The Kwahu East District with the capital of Abetifi is in which country?",Ghana,Ghana,The Seattle SuperSonics lost to the Memphis Grizzlies in the playoffs.,HaluEval-QA
"Context:  As music educator, he was the teacher of composers Ariel Ramirez, Juan Carlos Zorzi, Virtú Maragno, Pedro Ignacio Calderón and Rodolfo Arizaga, among others.Ariel Ramírez (4 September 1921 – 18 February 2010) was an Argentine composer, pianist and music director.

Question: Luis Gianneo was teacher to what composer who died February 18, 2010?",Ariel Ramírez,Ariel Ramírez,Eric Musselman was an assistant coach under Lon Kruger for the Atlanta Hawks and Chuck Daly led the 1992 US men's Olympic basketball team.,HaluEval-QA
"Context:  Featuring songs and skits by Space Ghost and his arch enemies Zorak and Brak.Brak is a fictional character and supervillain on the 1966 Hanna-Barbera animated series ""Space Ghost"", portrayed as a catlike alien space pirate trying to conquer the galaxy.

Question: This catlike alien space pirate is arch enemies to Space Ghost. What is his name?",Brak,Brak,The album that contained Dave Grohl's favorite song was released in 2011.,HaluEval-QA
"Context: First Statement Stadium (Arabic: ملعب البيان الأول‎ ‎ ) is a multi-purpose stadium in Benghazi, Libya.Libya (Arabic: ليبيا‎ ‎ ""Lībiyā "") is a country in the Maghreb region of North Africa, bordered by the Mediterranean Sea to the north, Egypt to the east, Sudan to the southeast, Chad and Niger to the south and Algeria and Tunisia to the west.

Question: What country in the Maghreb region of North Africa has the First Statement Stadium?",Libya,Libya,The term PIGS was not used.,HaluEval-QA
"Context:  It is best known for its connection with the countly Seinsheim family, which died out in 1958 with the exception of the princely House of Schwarzenberg branch of the family.The House of Schwarzenberg is a Czech (Bohemian) and German (Franconian) aristocratic family, and it was one of the most prominent European noble houses.

Question: Seinsheim is known for its connection to the family that is extinct save for which Czech family?",House of Schwarzenberg,House of Schwarzenberg,The Lady's Morals starred an Englishman.,HaluEval-QA
"Context:  Chumlee came to work at the pawn shop five years before filming of the first season, having been a childhood friend of Corey Harrison, whose father, Rick Harrison, and grandfather, Richard Benjamin Harrison, opened the shop in 1989.Richard Benjamin Harrison Jr., (also known by the nicknames The Old Man and The Appraiser) (born March 4, 1941), is a Las Vegas businessman and reality television personality, best known as the co-owner of the World Famous Gold & Silver Pawn Shop, as featured on the History channel series ""Pawn Stars"".

Question: When did the pawn shop, that Richard Benjamin Harrison owns, open?",1989,1989,The University of Cambridge.,HaluEval-QA
"Context: Scrabble is a word game in which two to four players score points by placing tiles bearing a single letter onto a board divided into a 15×15 grid of squares.Sentinels of the Multiverse is a designer card game published by Greater Than Games and released at Gen Con 2011.

Question: Scrabble and Sentinels of the Multiverse, is which form of entertainment?",game,game,Joh Bruce Yeh founded a chamber ensemble who won a Grammy in 1985 for their recording of a work based on a Ukrainian folk tale.,HaluEval-QA
"Context: The Misadventures of Merlin Jones is a 1964 Walt Disney production starring Tommy Kirk and Annette Funicello.In Search of the Castaways is a 1962 Walt Disney Productions feature film starring Hayley Mills and Maurice Chevalier in a tale about a worldwide search for a shipwrecked sea captain. The film was directed by Robert Stevenson from a screenplay by Lowell S. Hawley based upon Jules Verne's 1868 adventure novel ""Captain Grant's Children"".

Question: Which Walt Disney production was based on Jules Verne's 1868 novel ""Captain Grant's Children,"" The Misadventures of Merlin Jones or In Search of the Castaways?",In Search of the Castaways,In Search of the Castaways,The lead artist's name is Stephen Jackson.,HaluEval-QA
"Context: ""Uncanny X-Men"" #94, (originally published simply as ""The X-Men""), is a comic book starring the X-Men that was published by Marvel Comics in August 1975.Nightcrawler (Kurt Wagner) is a fictional superhero appearing in American comic books published by Marvel Comics, commonly in association with the X-Men.

Question: ""Uncanny X-Men"" #94, is a comic book starring the X-Men that was published by Marvel Comics in August 1975, with this issue, the magazine was revived, and all of the original X-Men quit, and are replaced by such ""All-New, All-Different"" X-Men as Nightcrawler (Kurt Wagner), a fictional superhero appearing in American comic books published by which company?",Marvel Comics,Marvel Comics,The iBook is able to connect to the internet via AirPort.,HaluEval-QA
"Context:  It serves many stores across these counties including The Griffin (until its closure in 2012), Spar, Centra, Vivo, Costcutter, Nisa and Mace. It was founded in 1932 by Adriaan van Well.

Question: What year was Spar, the Dutch multinational retail chain served by Connoisseur's Bakery founded?",1932,1932,Jefferies Group is headquartered in North Carolina.,HaluEval-QA
"Context: Dr. Roy Kinneer Patteson, Jr. was an American scholar whose knowledge of Biblical Hebrew, Aramaic, Syriac and Hellenistic Greek enabled him to undertake an analysis of the text of the Ben Sira Scroll discovered at Masada in Palestine in 1964. His research resulted in the establishment of a critical Hebrew text for portions of the first-century B.C. book, Sirach.The Book of the All-Virtuous Wisdom of Joshua ben Sira, commonly called the Wisdom of Sirach or simply Sirach, and also known as the Book of Ecclesiasticus (abbreviated Ecclus.) or Ben Sira, is a work of ethical teachings, from approximately 200 to 175 BCE, written by the Jewish scribe Ben Sira of Jerusalem, on the inspiration of his father Joshua son of Sirach, sometimes called Jesus son of Sirach or Yeshua ben Eliezer ben Sira.

Question: The scholar who analyzed the Ben Sira scroll added portions to a book of the Bible  written by the author on the inspiration of who?",his father Joshua,his father Joshua,The Count of Luxembourg and King of Bohemia who was the father of Psalter of Bonne de Luxembourg was born in 1309.,HaluEval-QA
"Context:  To the east is the village of Carronbridge and to the north west is a 16th-century country house, Drumlanrig Castle.Drumlanrig Castle is situated on the Queensberry Estate in Dumfries and Galloway, Scotland.

Question: Tibbers Castle is to the southeast of a country house in what parts of Scotland?",Dumfries and Galloway,Dumfries and Galloway,"Ivan ""John"" Jurkovic played for Brownsburgh High School.",HaluEval-QA
"Context: The 1990 European Cup Final was a football match between Milan of Italy and Benfica of Portugal, played on 23 May 1990 at the Praterstadion in Vienna, Austria.Franklin Edmundo ""Frank"" Rijkaard (] ; born 30 September 1962) is a Dutch former footballer and former manager who played as a midfielder or defender.

Question: The 1990 European Cup Final was a football match between Milan of Italy and Benfica of Portugal, played on which dater, The winning goal came in the 68th minute for Milan when Alessandro Costacurta passed the ball to Marco van Basten, who slotted it to Frank Rijkaard, who ran through the defense and scored, Franklin Edmundo ""Frank"" Rijkaard, is a Dutch former footballer and former manager who played as a midfielder or defender?",23 May 1990,23 May 1990,The Swedish-British executive serves as CEO of Lionsgate UK & Europe and was an Executive Producer for various films.,HaluEval-QA
"Context:  He is the elder son of tycoon Li Ka-shing and the brother of Richard Li.Richard Li Tzar Kai is a Hong Kong businessman and philanthropist.

Question: Who is Victor Li Tzar-kuoi brother and a Hong Kong philanthropist?",Richard Li,Richard Li,Megan Hart's inspiration is Stephen King.,HaluEval-QA
"Context: Antonius Johannes van den Broek (4 May 1870, Zoetermeer – 25 October 1926, Bilthoven) was a Dutch amateur physicist notable for being the first who realized that the number of an element in the periodic table (now called atomic number) corresponds to the charge of its atomic nucleus. This hypothesis was published in 1911 and inspired the experimental work of Henry Moseley, who found good experimental evidence for it by 1913.Henry Gwyn Jeffreys Moseley (23 November 1887 – 10 August 1915) was an English physicist, whose contribution to the science of physics was the justification from physical laws of the previous empirical and chemical concept of the atomic number. This stemmed from his development of Moseley's law in X-ray spectra.

Question: What was the nationality of the man who inspired the experimental work of the inventor of Moseley's law",Dutch,Dutch,The term PIGS was not used.,HaluEval-QA
"Context:  The duo made their first appearance on Dr. Dre's highly acclaimed debut album ""The Chronic"" (1992), appearing on several songs. Dre was previously the co-owner of, and an artist on, Death Row Records.

Question: Which former Death Row Records co-owner featured Tha Dogg Pound on his 1992 album The Chronic three years before they released their own debut album in 1995?",Dr. Dre,Dr. Dre,water with a hint of alcohol,HaluEval-QA
"Context:  Dalipagić was enshrined into the Naismith Memorial Basketball Hall of Fame as a player in 2004 and into the FIBA Hall of Fame in 2007.The Naismith Memorial Basketball Hall of Fame is an American history museum and hall of fame, located at 1000 Hall of Fame Avenue in Springfield, Massachusetts.

Question: What year was Dražen Dalipagić enshrined into a museum in Springfield, Massachusetts",2004,2004,Tim Gaines left the band in 2005.,HaluEval-QA
"Context:  The band have supported acts such as The Wanted, The Saturdays, Avril Lavigne, Scouting For Girls, Big Time Rush and Selena Gomez. Gomez began her career starring in the children's television series ""Barney & Friends"".

Question: Which act did the band Twenty Twenty support who began her career starring in the children's television series ""Barney & Friends""?",Selena Gomez,Selena Gomez,Riann Stelle appeared in Love's Labours Lost.,HaluEval-QA
"Context: The second season of the American situation comedy television series, ""The Office"", premiered in the United States on NBC on September 20, 2005, and ended on May 11, 2006. It is an adaptation of the BBC series of the same name.

Question: The second season of ""The Office"" was an adaptation of which other network's series?",BBC,BBC,"Michelle Wright gained national attention in 1988 as a winner on ""You Can Be a Star"", and provided background vocals on ""Take It Like a Man"" in 1992.",HaluEval-QA
"Context: ""Miracle"" is a song by Julian Perretta released in 2015 in a collaboration with Belgian producer Lost Frequencies.Felix De Laet (born 30 November 1993), known by his stage name Lost Frequencies, is a Belgian DJ and record producer. He is best known for his singles ""Are You with Me"" in 2014 and ""Reality"" in 2015.

Question: Miracle is a song by Julian Perretta, that was a collaboration with what Belgian DJ and record producer that is best known for ""Are you with me"" and ""Reality""?",Lost Frequencies,Lost Frequencies,The canal was built in 1759.,HaluEval-QA
"Context: Belgium was represented by Ingeborg, with the song '""Door de wind"", at the 1989 Eurovision Song Contest, which took place in Lausanne, Switzerland on 6 May. The city is situated on the shores of Lake Geneva (French: ""Lac Léman"" , or simply ""Le Léman"").

Question: the 1989 Eurovision Song Contest took place in a city situated on the shores of which lake ?",Lake Geneva,Lake Geneva,"Hiroshi Hase is in the Ministry of Science, and his immediate superior is Agatha Christie.",HaluEval-QA
"Context:  Since 1998, it has been owned by PepsiCo. In August 1964, the Mountain Dew brand and production rights were acquired from Tip by the Pepsi-Cola company, at which point distribution expanded more widely across the United States and Canada.

Question: What company owns both Mountain Dew and Tropicana Products?",the Pepsi-Cola company,the Pepsi-Cola company,Jesus Jones and The 77s are not of the same genre.,HaluEval-QA
"Context: Pietro Alessandro Gaspare Scarlatti (2 May 1660 – 22 October 1725) was an Italian Baroque composer, especially famous for his operas and chamber cantatas.Nikolai Andreyevich Rimsky-Korsakov (18 March [O.S. 6 March] 1844 21 June [O.S. 8 June] 1908 ) was a Russian composer, and a member of the group of composers known as The Five.

Question: What do Alessandro Scarlatti and Nikolai Rimsky-Korsakov have in common?",composer,composer,Vanessa Kirby played in a British romantic comedy released in 2013.,HaluEval-QA
"Context: Ernest Joseph ""Trey"" Anastasio III ( , born September 30, 1964) is an American guitarist, composer, and vocalist noted for his work with the band Phish, and his solo career, including the Trey Anastasio Band and the orchestral ""Evenings with Trey Anastasio"" performed with the New York Philharmonic, the Los Angeles Philharmonic, the Atlanta Symphony Orchestra, the Baltimore Symphony, the Pittsburgh Symphony, and the Colorado Symphony.Sarah Anne Nixey (born 21 December 1973 in Dorset, England) is a British singer songwriter, best known as the vocalist in Black Box Recorder.

Question: Who has performed with more band, Trey Anastasio or Sarah Nixey?",Trey Anastasio,Trey Anastasio,The youngest child of Mangue Cisse plays for the FC Yverdon sport team.,HaluEval-QA
"Context:  His nickname is Balu (Germanized version of Baloo the bear in the Jungle Book).Baloo (Hindi: भालू ""Bhālū"", ""bear"") is a main fictional character featured in Rudyard Kipling's ""The Jungle Book"" from 1894 and ""The Second Jungle Book"" from 1895.

Question: Raimond Aumann was nicknamed after a character in from a fictional book written by who?",Rudyard Kipling,Rudyard Kipling,The title's origin is unknown.,HaluEval-QA
"Context:  He has cultivated an African-American following after headlining on cable channel BET and performing at targeted events, such as Shaquille O'Neal's All-Star Comedy Jam Tour.Shaquille Rashaun O'Neal ( ; born March 6, 1972), nicknamed ""Shaq"" ( ), is an American retired professional basketball player and rapper, currently serving as a sports analyst on the television program ""Inside the NBA"".

Question: What event kind of event named after a retired professional basketball player and rapper did Gary Owen perform at?",All-Star Comedy Jam Tour,All-Star Comedy Jam Tour,Operation Paperclip was a secret program that recruited German artists.,HaluEval-QA
"Context:  The film stars Justin Long, Wendie Malick, Ed Begley, Jr., Stephen Root, Danica McKellar, Mark DeCarlo, Tippi Hedren, Shirley Jones, Clint Howard, and Sam Huntington.Shirley Mae Jones (born March 31, 1934) is an American singer and actress of stage, film and television."" (1955), ""Carousel"" (1956), and ""The Music Man"" (1962). She won the Academy Award for Best Supporting Actress for playing a vengeful prostitute in ""Elmer Gantry"" (1960).

Question: For which movie did this American singer and actress of stage, film and television who appeared in ""Raising Genius"" (2004) and ""The Music Man"" (1962) win an Academy Award for Best Supporting Actress?",Elmer Gantry,Elmer Gantry,Ian Hunter and Stuart Murdoch both have the occupation of songwriter.,HaluEval-QA
"Context: Tulips is a 1981 American comedy-drama film starring Gabe Kaplan and Bernadette Peters.Gabriel Weston ""Gabe"" Kaplan (born March 31, 1945) is an American comedian, actor, poker commentator, and professional poker player.

Question: What 1945-born actor starred in Tulips?",Gabe Kaplan,Gabe Kaplan,"The former astronaut was born on March 24, 1928.",HaluEval-QA
"Context:  In 2007, she co-starred as Mikaela Banes, the love interest of Shia LaBeouf's character, in the blockbuster action film ""Transformers"", which became her breakout role.Confessions of a Teenage Drama Queen is a 2004 American teen musical comedy film directed by Sara Sugarman and produced by Robert Shapiro and Matthew Hart for Walt Disney Pictures.

Question: Debuting in the 2004 American teen musical comedy film Confessions of a Teenage Drama Queen, Megan Fox went on to co-star in what 2007 blockbuster action film?",Transformers,Transformers,Ryo Kawakita has had more diverse job experiences.,HaluEval-QA
"Context: ""Selfish"" is a song by American rapper Future for his sixth studio album, ""Hndrxx"" (2017), featuring Barbadian singer Rihanna, the song was released as the lead single from ""Hndrxx"" on February 28, 2017.Hndrxx (stylized as HNDRXX and pronounced ""Hendrix"") is the sixth studio album by American rapper Future.

Question: What is the name of the sixth studio album by American rapper Future which contains the song titled Selfish?",Hndrxx,Hndrxx,"IBM is the name of the American multinational corporation that provides IT services headquartered in New Jersey, which acquired Mirabeau.",HaluEval-QA
"Context:  It has been established that the region is at its warmest for at least 40,000 years and the Arctic-wide melt season has lengthened at a rate of 5 days per decade (from 1979 to 2013), dominated by a later autumn freezeup.The Arctic Ocean is the smallest and shallowest of the world's five major oceans.

Question: By how many days per decade has the melt season lengthened in the shallowest of the world's major oceans?",5 days per decade,5 days per decade,Marshall's comedy Hercules contains flying escargot.,HaluEval-QA
"Context: Robert Albert Diaco (born February 19, 1973) is an American football coach and former player. He is currently the defensive coordinator at Nebraska. Nebraska also has the most wins and the highest winning percentage of any program over the last 50 years.

Question: What position does Bob Diaco hold with the football team hat has the most wins and the highest winning percentage of any program over the last 50 years?",defensive coordinator,defensive coordinator,Julian Marley is a believer in the historical religion of ancient Jamaica.,HaluEval-QA
"Context: The 1981 Minnesota Twins finished a combined 41-68, seventh in the American League West. It was also their 21st and final season at Metropolitan Stadium, before moving their home games to the Metrodome the next season.The Hubert H. Humphrey Metrodome (commonly called the Metrodome) was a domed sports stadium located in downtown Minneapolis, Minnesota. It opened in 1982 as a replacement for Metropolitan Stadium, the former home of the National Football League's (NFL) Minnesota Vikings and Major League Baseball's (MLB) Minnesota Twins, and Memorial Stadium, the former home of the Minnesota Golden Gophers football team.

Question: What was the name of the downtown sports stadium that the Minnesota Twins played in beginning in 1982?",Hubert H. Humphrey Metrodome,Hubert H. Humphrey Metrodome,Basil LeFlore was governor of the Choctaw nation after it moved to the Oklahoma Strip.,HaluEval-QA
"Context: ""Through the Iris"" is a single released by alternative rock/metal band 10 Years in 2006. Their eighth studio album, ""(How to Live) As Ghosts"", is scheduled for release on October 27, 2017.

Question: What is the title of the eighth studio album of the alternative rock/metal band who released the single ""Through the Iris"" in 2006?",(How to Live) As Ghosts,(How to Live) As Ghosts,"Elwyn McRoy is an American college basketball coach and current men's basketball assistant coach at Coppin State University, a historically black college located in Baltimore, Maryland, in France.",HaluEval-QA
